CASRN,LD50_avg,Toxic_avg-0,Toxic_avg-1,EPA_avg-1,EPA_avg-2,EPA_avg-3,EPA_avg-4
130209-82-4,0.18366927360709928,0.5601977528950822,0.4398022471049179,0.11603910042515078,0.1426286988018269,0.3967381166116729,0.3445940891613496
123253-00-9,-0.48729155120191675,0.141611992904646,0.8583880045953542,0.5894973789253855,0.283683781843078,0.09158351441460408,0.035235332066932516
123253-04-3,-0.5426972877257862,0.03913985102215157,0.9608601457278487,0.6006167006199651,0.3282206546732711,0.06386127046905515,0.007301377487708811
14255-87-9,0.6370552708076964,0.5724221651979942,0.4275778348020059,0.014517492697361658,0.10152109138413641,0.6519098181387667,0.2320515945297353
50-56-6,7.264906512656488e-07,0.6205682730487849,0.379431734451215,0.0590731854729716,0.14466858729178245,0.4727221082225719,0.32353612601267406
93739-45-8,-0.1751544121992774,0.059049231539575815,0.9409507624604242,0.06753983345761752,0.7990074911142879,0.11271391611902175,0.020738764309072684
104902-33-2,0.13004309636292488,0.05679246314257859,0.9432075368574215,0.05384758552891141,0.6092960042508823,0.32348908707671303,0.013367337643493227
11024-24-1,-0.10829755409203466,0.6352367673904489,0.36476323260955124,0.1021286918349984,0.07312319027555686,0.4731824414279804,0.3515656842114644
125055-50-7,0.33093026747792553,0.022120741637039233,0.9778792563629607,0.010077584540287843,0.9548781199849699,0.03234147170632302,0.002702818768419231
125055-54-1,0.2620365206292593,0.018007435640135017,0.981992564859865,0.011292713958377984,0.9650169165360241,0.02126956445187346,0.0024208163037244376
125055-58-5,0.23268023297449814,0.01560038083498827,0.9843996179150117,0.013511202940649303,0.9676550305447953,0.01722166559454244,0.0016120949450129092
125055-62-1,0.3031674148306817,0.01959503496607658,0.9804049615339234,0.010582686920294416,0.9713726091701437,0.016397939411854107,0.0016467704227076556
125055-66-5,0.24427600261184457,0.049702183068926126,0.9502978169310737,0.011745592783412539,0.9288463104392528,0.05082661719348118,0.008581486383853438
125055-70-1,0.2710916209017782,0.016442767872759213,0.9835572326272408,0.015997235254985864,0.957478067334478,0.024743076911634528,0.0017816165989015529
125055-74-5,0.07942016029781061,0.05528987837631012,0.9447101191236899,0.01871755394204317,0.9118863965407091,0.05848793240536319,0.010908103861884413
125055-78-9,0.3031674148306817,0.01959503496607658,0.9804049615339234,0.010582686920294416,0.9713726091701437,0.016397939411854107,0.0016467704227076556
130365-34-3,-0.13511473607447136,0.02117183928891073,0.9788281592110893,0.03767092217111287,0.934266121318271,0.024667058946760884,0.003395891613855192
141-30-0,0.37084839678793596,0.044361370020311444,0.9556386329796884,0.026103448665247702,0.6426373661501448,0.32141626623361585,0.009842926700991716
149455-36-7,0.40127196624069245,0.3323376704252641,0.6676623295747359,0.029762119865431487,0.2128066883041919,0.6094815127288553,0.14794967560152122
22791-18-0,-0.6751570018953453,0.044229651666975796,0.9557703508330242,0.35798982125103973,0.5779391949539929,0.04420808337463474,0.019862916670332596
22961-83-7,-0.10537119307637152,0.04946179284201459,0.9505382036579855,0.05023502901078772,0.5685785497199722,0.3666821210156619,0.014504298753578107
34484-91-8,0.508264174856025,0.27789039874899685,0.7221096012510031,0.019421128805962612,0.22971294930104066,0.6721032824687561,0.07876264742424072
53460-76-7,0.6266029458759528,0.5859388754507052,0.4140611245492948,0.0387139396887784,0.11088353432247154,0.563231774750385,0.2871707527383649
