CASRN,LD50_avg,Toxic_avg-0,Toxic_avg-1,EPA_avg-1,EPA_avg-2,EPA_avg-3,EPA_avg-4
130209-82-4,0.42476484350482197,0.5817885297081817,0.418211467291818,0.05967433523060663,0.16918112318967124,0.33309447456361985,0.4380500698961022
123253-00-9,-0.02640890522969015,0.332522467567682,0.6674775329323179,0.36401943586394403,0.2992571067484702,0.16483856868197574,0.17188488060560986
123253-04-3,-0.10685617466229147,0.17409779423332733,0.8259022045166727,0.5179370089559544,0.2594755739427574,0.12989829015747406,0.09268912614381379
14255-87-9,0.4049381191873785,0.467093201627024,0.532906798372976,0.06586677904894118,0.16391983533525536,0.6616832739618997,0.10853011357890381
50-56-6,0.051337543929950366,0.5829123766179768,0.4170876263820231,0.07476647396420852,0.1586348789795076,0.3519693982968669,0.41462924919441696
93739-45-8,-0.012030690815998288,0.24990783934298583,0.7500921626570137,0.11639504882840708,0.6399568652441523,0.10577628188227003,0.13787180569517093
104902-33-2,0.2974901815182928,0.15843790844853173,0.8415620926514684,0.02409553597448893,0.4915370935108655,0.41862086652265884,0.06574650227198675
11024-24-1,-0.111226009860377,0.5635244856668346,0.4364755113331656,0.17225722637425606,0.0659722252863437,0.4423948920279418,0.3193756526114583
125055-50-7,0.5675334709668224,0.08296922996386898,0.917030770486131,0.010004503808221618,0.8025572322123521,0.1557556116772852,0.03168265626214102
125055-54-1,0.5061483865258027,0.07465215602454517,0.925347843575455,0.011835278244376652,0.8731648340746881,0.08678864737673164,0.028211237191203564
125055-58-5,0.572764911132291,0.05452549571154538,0.9454745008884547,0.00605829050494759,0.9053238958470361,0.06883838317577277,0.01977943102174367
125055-62-1,0.6364190980103832,0.04941598460850474,0.9505840153114955,0.0051792954526325916,0.9319260814712438,0.045898951760876966,0.016995667274246708
125055-66-5,0.41485552742042986,0.1543341223161565,0.8456658769338435,0.009899174592144242,0.7984205776607217,0.14394518313082372,0.04773506216131042
125055-70-1,0.5973114709389902,0.10457592740730726,0.8954240751276927,0.011839155157849248,0.8665594097449236,0.09334232446424084,0.028259113862986414
125055-74-5,0.30401356595010215,0.13015466388983468,0.8698453325601655,0.018316322870273082,0.7858646759133686,0.12970632660507836,0.06611267674627995
125055-78-9,0.6364190980103832,0.04941598460850474,0.9505840153114955,0.0051792954526325916,0.9319260814712438,0.045898951760876966,0.016995667274246708
130365-34-3,-0.09175208276201094,0.06744218919935924,0.9325578108506407,0.023162722345218285,0.8869325672170421,0.061531191272578147,0.028373522385161686
141-30-0,0.4755121006930735,0.1405251422111244,0.8594748569888756,0.037440737772470874,0.48635577013592857,0.4409279604731542,0.03527553225844637
149455-36-7,0.34248744128039943,0.4202985584582831,0.5797014430417169,0.03949447877795611,0.2416700246444702,0.6177976335694553,0.10103786340811845
22791-18-0,-0.5300007739741904,0.07577291153377733,0.9242270879662229,0.36397215325170024,0.434979007600009,0.1708795331932028,0.030169306230088067
22961-83-7,-0.233076053861013,0.08129588163022065,0.9187041196697796,0.08089840955075003,0.45413543989755895,0.4392516431741841,0.02571450127750684
34484-91-8,0.46075595456136115,0.31975488012694364,0.6802451203730564,0.034280227528218334,0.2680769827140611,0.5031999953094035,0.19444279314831708
53460-76-7,0.43115323073469647,0.4823690528901777,0.5176309501098222,0.11694948697943666,0.11592552085712785,0.5273223138992579,0.23980267851417766
